date,value,volume,start,close,name
6/26/2023,549.36,1151,537.05,549.36,SBM
6/27/2023,538.35,4669,549.36,538.35,SBM
6/28/2023,540.2,1313,538.35,540.2,SBM
6/29/2023,535.79,3581,540.2,535.79,SBM
6/30/2023,537.37,2340,535.79,537.37,SBM
7/3/2023,533.36,3998,537.37,533.36,SBM
7/4/2023,539,6525,533.36,539,SBM
7/5/2023,524.36,8328,539,524.36,SBM
7/6/2023,534.18,3292,524.36,534.18,SBM
7/7/2023,531.86,3912,534.18,531.86,SBM
7/17/2023,532.95,9239,531.86,532.95,SBM
7/18/2023,539.9,3565,532.95,539.9,SBM
7/19/2023,539.89,1288,539.9,539.89,SBM
7/20/2023,537.75,5905,539.89,537.75,SBM
7/21/2023,532.64,7997,537.75,532.64,SBM
7/24/2023,536.69,570,532.64,536.69,SBM
7/25/2023,532.82,1135,536.69,532.82,SBM
7/26/2023,534,2137,532.82,534,SBM
7/27/2023,530,5398,534,530,SBM
7/28/2023,521.19,4809,530,521.19,SBM
7/31/2023,520,7785,521.19,520,SBM
8/1/2023,517.03,2028,520,517.03,SBM
8/2/2023,513.28,4355,517.03,513.28,SBM
8/3/2023,510.93,5356,513.28,510.93,SBM
8/4/2023,511.4,3829,510.93,511.4,SBM
8/7/2023,510.9,2246,511.4,510.9,SBM
8/8/2023,515.04,1933,510.9,515.04,SBM
8/9/2023,513,7022,515.04,513,SBM
8/10/2023,505.68,3340,513,505.68,SBM
8/11/2023,500.06,8169,505.68,500.06,SBM
8/14/2023,487.71,16696,500.06,487.71,SBM
8/15/2023,490,5990,487.71,490,SBM
8/16/2023,490,7288,490,490,SBM
8/17/2023,490,5805,490,490,SBM
8/18/2023,476.77,18094,490,476.77,SBM
8/21/2023,476.08,7697,476.77,476.08,SBM
8/22/2023,477.79,16882,476.08,477.79,SBM
8/23/2023,469.18,13584,477.79,469.18,SBM
8/24/2023,469.65,6540,469.18,469.65,SBM
8/25/2023,469.25,5287,469.65,469.25,SBM
8/28/2023,473.94,1204,469.25,473.94,SBM
8/29/2023,479.04,5101,473.94,479.04,SBM
8/30/2023,475.54,3051,479.04,475.54,SBM
8/31/2023,436.05,43101,475.54,436.05,SBM
9/1/2023,484.94,5904,436.05,484.94,SBM
9/4/2023,485.69,1345,484.94,485.69,SBM
9/5/2023,485.47,5281,485.69,485.47,SBM
9/6/2023,488.47,2896,485.47,488.47,SBM
9/7/2023,485,7555,488.47,485,SBM
9/11/2023,475.67,3265,485,475.67,SBM
9/12/2023,469.3,4129,475.67,469.3,SBM
9/13/2023,481.86,3355,469.3,481.86,SBM
9/14/2023,468.15,515,481.86,468.15,SBM
9/15/2023,466.14,182,468.15,466.14,SBM
9/18/2023,456.32,2466,466.14,456.32,SBM
9/19/2023,474,3540,456.32,474,SBM
9/20/2023,479.86,25116,474,479.86,SBM
9/21/2023,465,12880,479.86,465,SBM
9/22/2023,479.86,25116,465,479.86,SBM
9/25/2023,472.7,1475,479.86,472.7,SBM
9/26/2023,479.61,88279,472.7,479.61,SBM
9/27/2023,500.12,21913,479.61,500.12,SBM
9/28/2023,499.56,1550,500.12,499.56,SBM
9/29/2023,506.51,245,499.56,506.51,SBM
10/2/2023,510,921,506.51,510,SBM
10/3/2023,500.51,475,510,500.51,SBM
10/4/2023,483.12,5394,500.51,483.12,SBM
10/5/2023,485.09,37418,483.12,485.09,SBM
10/6/2023,482.49,121,485.09,482.49,SBM
10/9/2023,475.54,2958,482.49,475.54,SBM
10/10/2023,489,46,475.54,489,SBM
10/11/2023,475.97,2080,489,475.97,SBM
10/12/2023,488.18,1094,475.97,488.18,SBM
10/13/2023,490.01,22516,488.18,490.01,SBM
10/16/2023,495.04,1704,490.01,495.04,SBM
10/17/2023,497.87,6981,495.04,497.87,SBM
10/18/2023,496.2,2153,497.87,496.2,SBM
10/19/2023,494.05,1690,496.2,494.05,SBM
10/20/2023,495.83,12520,494.05,495.83,SBM
10/23/2023,476.75,5866,495.83,476.75,SBM
10/24/2023,463.04,11759,476.75,463.04,SBM
10/25/2023,464,8932,463.04,464,SBM
10/26/2023,453.28,11132,464,453.28,SBM
10/27/2023,474,6107,453.28,474,SBM
10/30/2023,473.5,3147,474,473.5,SBM
10/31/2023,470,9727,473.5,470,SBM
11/1/2023,458.02,5740,470,458.02,SBM
11/2/2023,474.97,5063,458.02,474.97,SBM
11/3/2023,471.99,4405,474.97,471.99,SBM
11/6/2023,464.31,8074,471.99,464.31,SBM
11/7/2023,474.37,3514,464.31,474.37,SBM
11/8/2023,461.81,3202,474.37,461.81,SBM
11/9/2023,462.55,1641,461.81,462.55,SBM
6/14/2023,680.13,97527,,,XAC
6/15/2023,677.72,77388,680.13,677.72,XAC
6/16/2023,665.49,47903,677.72,665.49,XAC
6/19/2023,630.75,48995,665.49,630.75,XAC
6/20/2023,644.86,48388,630.75,644.86,XAC
6/21/2023,637.9,10423,644.86,637.9,XAC
6/22/2023,626.75,6617,637.9,626.75,XAC
6/23/2023,620.1,17157,626.75,620.1,XAC
6/26/2023,608.65,23324,620.1,608.65,XAC
6/27/2023,599.2,19930,608.65,599.2,XAC
6/28/2023,608.14,90757,599.2,608.14,XAC
6/29/2023,634.72,33019,608.14,634.72,XAC
6/30/2023,639.64,23149,634.72,639.64,XAC
7/3/2023,636.32,10015,639.64,636.32,XAC
7/4/2023,638.56,9998,636.32,638.56,XAC
7/5/2023,631.37,9624,638.56,631.37,XAC
7/6/2023,627.6,7044,631.37,627.6,XAC
7/7/2023,630,4508,627.6,630,XAC
7/17/2023,627.99,8831,630,627.99,XAC
7/18/2023,607.99,9497,627.99,607.99,XAC
7/19/2023,605.04,10230,607.99,605.04,XAC
7/20/2023,609.44,6352,605.04,609.44,XAC
7/21/2023,609.14,10111,609.44,609.14,XAC
7/24/2023,609.71,9065,609.14,609.71,XAC
7/25/2023,605,6233,609.71,605,XAC
7/26/2023,605,4861,605,605,XAC
7/27/2023,604.07,7092,605,604.07,XAC
7/28/2023,604,2830,604.07,604,XAC
7/31/2023,600.35,14742,604,600.35,XAC
8/1/2023,599.34,7410,600.35,599.34,XAC
8/2/2023,595,8133,599.34,595,XAC
8/3/2023,593.14,2897,595,593.14,XAC
8/4/2023,594.42,5848,593.14,594.42,XAC
8/7/2023,584.84,4860,594.42,584.84,XAC
8/8/2023,583.22,4948,584.84,583.22,XAC
8/9/2023,583,9186,583.22,583,XAC
8/10/2023,570.49,33667,583,570.49,XAC
8/11/2023,568.78,6679,570.49,568.78,XAC
8/14/2023,552.06,10004,568.78,552.06,XAC
8/15/2023,558.25,16601,552.06,558.25,XAC
8/16/2023,564.98,10586,558.25,564.98,XAC
8/17/2023,565,7611,564.98,565,XAC
8/18/2023,560.25,4987,565,560.25,XAC
8/21/2023,565.56,4861,560.25,565.56,XAC
8/22/2023,567.62,9525,565.56,567.62,XAC
8/23/2023,569,3646,567.62,569,XAC
8/24/2023,556.39,6387,569,556.39,XAC
8/25/2023,569.67,15787,556.39,569.67,XAC
8/28/2023,550.49,28306,569.67,550.49,XAC
8/29/2023,568,4312,550.49,568,XAC
8/30/2023,568.87,15957,568,568.87,XAC
8/31/2023,586.88,16621,568.87,586.88,XAC
9/1/2023,601.9,16060,586.88,601.9,XAC
9/4/2023,606.1,3708,601.9,606.1,XAC
9/5/2023,605.18,20091,606.1,605.18,XAC
9/6/2023,608.85,12810,605.18,608.85,XAC
9/7/2023,605.24,3059,608.85,605.24,XAC
9/11/2023,589.52,13739,605.24,589.52,XAC
9/12/2023,589.99,6878,589.52,589.99,XAC
9/13/2023,596.52,12478,589.99,596.52,XAC
9/14/2023,594.97,8711,596.52,594.97,XAC
9/15/2023,589.22,509,594.97,589.22,XAC
9/18/2023,582,1723,589.22,582,XAC
9/19/2023,585,3639,582,585,XAC
9/20/2023,582.73,15736,585,582.73,XAC
9/21/2023,569.97,8127,582.73,569.97,XAC
9/22/2023,582.73,15736,569.97,582.73,XAC
9/25/2023,587.02,13058,582.73,587.02,XAC
9/26/2023,586.9,3342,587.02,586.9,XAC
9/27/2023,571.37,4077,586.9,571.37,XAC
9/28/2023,547.86,7572,571.37,547.86,XAC
9/29/2023,552.39,2470,547.86,552.39,XAC
10/2/2023,569.99,215,552.39,569.99,XAC
10/3/2023,569.49,3071,569.99,569.49,XAC
10/4/2023,569.25,5760,569.49,569.25,XAC
10/5/2023,569.5,18606,569.25,569.5,XAC
10/6/2023,550,3113,569.5,550,XAC
10/9/2023,553.75,4095,550,553.75,XAC
10/10/2023,570.72,767,553.75,570.72,XAC
10/11/2023,557.41,3702,570.72,557.41,XAC
10/12/2023,578,2035,557.41,578,XAC
10/13/2023,587,1782,578,587,XAC
10/16/2023,585,1445,587,585,XAC
10/17/2023,586.46,3263,585,586.46,XAC
10/18/2023,583.68,2013,586.46,583.68,XAC
10/20/2023,579.41,2034,583.68,579.41,XAC
10/23/2023,569.64,12447,579.41,569.64,XAC
10/24/2023,584.34,3337,569.64,584.34,XAC
10/25/2023,583.94,2148,584.34,583.94,XAC
10/26/2023,587.85,3655,583.94,587.85,XAC
10/27/2023,586.99,2651,587.85,586.99,XAC
10/30/2023,583.35,2231,586.99,583.35,XAC
10/31/2023,576.12,25699,583.35,576.12,XAC
11/1/2023,580,11514,576.12,580,XAC
11/2/2023,580,350,580,580,XAC
11/3/2023,581,7821,580,581,XAC
11/6/2023,580,3290,581,580,XAC
11/7/2023,577.9,6545,580,577.9,XAC
11/8/2023,571.4,3224,577.9,571.4,XAC
11/9/2023,579.5,1932,571.4,579.5,XAC
6/2/2023,973.93,6437,,,GLMT
6/5/2023,969.79,8310,973.93,969.79,GLMT
6/6/2023,969.17,12314,969.79,969.17,GLMT
6/7/2023,970,8934,969.17,970,GLMT
6/8/2023,961.09,10291,970,961.09,GLMT
6/9/2023,969.8,5029,961.09,969.8,GLMT
6/12/2023,960,7323,969.8,960,GLMT
6/13/2023,951.77,5237,960,951.77,GLMT
6/14/2023,945.14,20325,951.77,945.14,GLMT
6/15/2023,942.22,10148,945.14,942.22,GLMT
6/16/2023,941.87,33811,942.22,941.87,GLMT
6/19/2023,936.87,59290,941.87,936.87,GLMT
6/20/2023,930.15,9329,936.87,930.15,GLMT
6/21/2023,932.24,11497,930.15,932.24,GLMT
6/22/2023,925.9,16886,932.24,925.9,GLMT
6/23/2023,925.03,18607,925.9,925.03,GLMT
6/26/2023,925.39,26845,925.03,925.39,GLMT
6/27/2023,910,11109,925.39,910,GLMT
6/28/2023,909.01,20248,910,909.01,GLMT
6/29/2023,909.53,51630,909.01,909.53,GLMT
6/30/2023,909.71,29524,909.53,909.71,GLMT
7/3/2023,903.07,6453,909.71,903.07,GLMT
7/4/2023,917.43,6045,903.07,917.43,GLMT
7/5/2023,911.28,12262,917.43,911.28,GLMT
7/6/2023,910.02,9514,911.28,910.02,GLMT
7/7/2023,913,3696,910.02,913,GLMT
7/17/2023,914,9749,913,914,GLMT
7/18/2023,910.11,7399,914,910.11,GLMT
7/19/2023,903.28,17584,910.11,903.28,GLMT
7/20/2023,914.15,5058,903.28,914.15,GLMT
7/21/2023,917.21,11482,914.15,917.21,GLMT
7/24/2023,948.84,5438,917.21,948.84,GLMT
7/25/2023,938.71,1489,948.84,938.71,GLMT
7/26/2023,935.56,6143,938.71,935.56,GLMT
7/27/2023,921.68,3087,935.56,921.68,GLMT
7/28/2023,920,9617,921.68,920,GLMT
7/31/2023,920,600,920,920,GLMT
8/1/2023,920,7275,920,920,GLMT
8/2/2023,918.03,5462,920,918.03,GLMT
8/3/2023,915.85,3538,918.03,915.85,GLMT
8/4/2023,921.56,12675,915.85,921.56,GLMT
